"기관 명","송신 서버 번호","데이터 번호","모델명","주행상태","시동ON 시각","시동OFF 시각","운행시간","등록일시"
"서울시설공단","20","1","B03","3","802022-02-14_17:48:","982022-02-14_18:43:","890000","2022-02-14 18:44:00.0"
"서울시설공단","20","1","B03","8","202022-02-14_17:33:","222022-02-14_18:15:","040000","2022-02-14 18:17:00.0"
"서울시설공단","20","1","B03","2","302022-02-14_18:04:","252022-02-14_18:04:","240000","2022-02-14 18:06:00.0"
"서울시설공단","20","1","B03","6","402022-02-14_11:44:","572022-02-14_18:03:","750003","2022-02-14 18:05:00.0"
"서울시설공단","20","1","B03","1","602022-02-14_16:54:","892022-02-14_17:42:","460000","2022-02-14 17:43:00.0"
"서울시설공단","20","1","B03","2","102022-02-14_16:42:","252022-02-14_17:33:","540000","2022-02-14 17:34:00.0"
"서울시설공단","20","1","B03","6","602022-02-14_16:10:","052022-02-14_17:31:","360000","2022-02-14 17:34:00.0"
"서울시설공단","20","1","B03","6","702022-02-14_17:19:","632022-02-14_17:19:","000000","2022-02-14 17:20:00.0"
"서울시설공단","20","1","B03","8","702022-02-14_16:59:","582022-02-14_17:18:","550000","2022-02-14 17:19:00.0"
"서울시설공단","20","1","B03","7","102022-02-14_07:08:","182022-02-14_17:00:","090005","2022-02-14 17:01:00.0"
"서울시설공단","20","1","B03","4","002022-02-14_11:08:","992022-02-14_16:57:","800003","2022-02-14 16:58:00.0"
"서울시설공단","20","1","B03","1","202022-02-14_14:54:","642022-02-14_16:47:","670001","2022-02-14 16:56:00.0"
"서울시설공단","20","1","B03","9","202022-02-14_16:50:","582022-02-14_16:51:","160000","2022-02-14 16:52:00.0"
"서울시설공단","20","1","B03","5","502022-02-14_16:23:","502022-02-14_16:49:","690000","2022-02-14 16:50:00.0"
"서울시설공단","20","1","B03","8","102022-02-14_15:37:","032022-02-14_16:48:","080000","2022-02-14 16:49:00.0"
"서울시설공단","20","1","B03","3","902022-02-14_07:53:","552022-02-14_16:46:","480005","2022-02-14 16:48:00.0"
"서울시설공단","20","1","B03","8","402022-02-14_11:29:","352022-02-14_16:45:","770003","2022-02-14 16:47:00.0"
"서울시설공단","20","1","B03","2","102022-02-14_16:46:","982022-02-14_16:46:","010000","2022-02-14 16:47:00.0"
"서울시설공단","20","1","B03","1","002022-02-14_11:39:",".52022-02-14_16:39:","550003","2022-02-14 16:40:00.0"
"서울시설공단","20","1","B03","7","502022-02-14_14:13:","832022-02-14_16:28:","090001","2022-02-14 16:29:00.0"
"서울시설공단","20","1","B03","2","002022-02-14_16:01:","982022-02-14_16:28:","210000","2022-02-14 16:29:00.0"
"서울시설공단","20","1","B03","4","202022-02-14_15:26:","312022-02-14_16:21:","200000","2022-02-14 16:23:00.0"
"서울시설공단","20","1","B03","8","702022-02-14_13:52:","742022-02-14_16:09:","720001","2022-02-14 16:11:00.0"
"서울시설공단","20","1","B03","3","502022-02-14_14:35:","862022-02-14_16:04:","790000","2022-02-14 16:05:00.0"
"서울시설공단","20","1","B03","2","002022-02-14_15:44:",".52022-02-14_16:00:","910000","2022-02-14 16:02:00.0"
"서울시설공단","20","1","B03","4","502022-02-14_06:27:","882022-02-14_16:00:","760005","2022-02-14 16:01:00.0"
"서울시설공단","20","1","B03","4","802022-02-14_15:06:","872022-02-14_15:54:","470000","2022-02-14 15:55:00.0"
"서울시설공단","20","1","B03","5","002022-02-14_15:27:","412022-02-14_15:46:","150000","2022-02-14 15:47:00.0"
"서울시설공단","20","1","B03","9","402022-02-14_15:39:","552022-02-14_15:43:","550000","2022-02-14 15:45:00.0"
"서울시설공단","20","1","B03","2","502022-02-14_14:40:","522022-02-14_15:41:","970000","2022-02-14 15:42:00.0"
"서울시설공단","20","1","B03","9","702022-02-14_14:19:",".72022-02-14_15:39:","040000","2022-02-14 15:40:00.0"
"서울시설공단","20","1","B03","3","202022-02-14_13:11:","222022-02-14_15:37:","050001","2022-02-14 15:38:00.0"
"서울시설공단","20","1","B03","2","902022-02-14_15:01:","762022-02-14_15:36:","650000","2022-02-14 15:38:00.0"
